State,State Abr,Deaths,Population,avg pop
Alabama,AL,50,57721479.0,5247407.181818182
Alaska,AK,12,8660471.0,787315.5454545454
Arizona,AZ,70,79524134.0,7229466.7272727275
Arkansas,AR,58,35333373.0,3212124.8181818184
California,CA,176,457426729.0,41584248.09090909
Colorado,CO,26,62923437.0,5720312.454545454
Connecticut,CT,16,42900753.0,3900068.4545454546
Delaware,DE,0,11057986.0,1005271.4545454546
District of Columbia,DC,0,7654077.0,695825.1818181818
Florida,FL,147,235337804.0,21394345.818181816
Georgia,GA,91,119462080.0,10860189.090909092
Hawaii,HI,10,16653833.0,1513984.8181818181
Idaho,ID,23,19397980.0,1763452.7272727273
Illinois,IL,67,153782178.0,13980198.0
Indiana,IN,40,78580974.0,7143724.909090909
Iowa,IA,24,36989656.0,3362696.0
Kansas,KS,17,34476362.0,3134214.727272727
Kentucky,KY,39,52546171.0,4776924.636363637
Louisiana,LA,46,54984763.0,4998614.818181818
Maine,ME,0,15966389.0,1451489.9090909092
Maryland,MD,30,70578129.0,6416193.545454546
Massachusetts,MA,24,80005849.0,7273259.0
Michigan,MI,84,119107552.0,10827959.272727273
Minnesota,MN,40,64838233.0,5894384.818181818
Mississippi,MS,41,35702640.0,3245694.5454545454
Missouri,MO,59,72318635.0,6574421.363636363
Montana,MT,25,12144869.0,1104079.0
Nebraska,NE,18,22319677.0,2029061.5454545454
Nevada,NV,18,33614740.0,3055885.4545454546
New Hampshire,NH,0,15914858.0,1446805.2727272727
New Jersey,NJ,18,106276376.0,9661488.727272727
New Mexico,NM,32,24784956.0,2253177.8181818184
New York,NY,74,234395439.0,21308676.272727273
North Carolina,NC,109,117459662.0,10678151.090909092
North Dakota,ND,0,8524734.0,774975.8181818182
Ohio,OH,85,138911253.0,12628295.727272727
Oklahoma,OK,74,45816037.0,4165094.272727273
Oregon,OR,30,47258286.0,4296207.818181818
Pennsylvania,PA,79,152812218.0,13892019.818181818
Rhode Island,RI,0,12656487.0,1150589.7272727273
South Carolina,SC,50,57164377.0,5196761.545454546
South Dakota,SD,0,10043306.0,913027.8181818182
Tennessee,TN,98,77717675.0,7065243.181818182
Texas,TX,305,315565530.0,28687775.454545453
Utah,UT,18,34574438.0,3143130.727272727
Vermont,VT,10,7504416.0,682219.6363636364
Virginia,VA,56,98163128.0,8923920.727272727
Washington,WA,48,83575455.0,7597768.636363637
West Virginia,WV,36,22087457.0,2007950.6363636365
Wisconsin,WI,58,68705559.0,6245959.909090909
Wyoming,WY,12,6844437.0,622221.5454545454
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
